WKC,GMN,Wijknaam,YEAR,Cluster_Reworked
WK051801,'s-Gravenhage, Wijk 01 Oostduinen,2011,3
WK051802,'s-Gravenhage, Wijk 02 Belgisch Park,2011,3
WK051805,'s-Gravenhage, Wijk 05 Archipelbuurt,2011,3
WK051809,'s-Gravenhage, Wijk 09 Geuzen- en Statenkwartier,2011,3
WK051811,'s-Gravenhage, Wijk 11 Duinoord,2011,3
WK051819,'s-Gravenhage, Wijk 19 Vruchtenbuurt,2011,3
WK051820,'s-Gravenhage, Wijk 20 Valkenboskwartier,2011,3
WK051821,'s-Gravenhage, Wijk 21 Regentessekwartier,2011,3
WK051822,'s-Gravenhage, Wijk 22 Zeeheldenkwartier,2011,3
WK051823,'s-Gravenhage, Wijk 23 Willemspark,2011,3
WK051826,'s-Gravenhage, Wijk 26 Bezuidenhout,2011,3
WK051828,'s-Gravenhage, Wijk 28 Centrum,2011,3
WK051839,'s-Gravenhage, Wijk 39 Binckhorst,2011,3
WK051840,'s-Gravenhage, Wijk 40 Wateringse Veld,2011,3
WK051842,'s-Gravenhage, Wijk 42 Ypenburg,2011,3
WK051844,'s-Gravenhage, Wijk 44 Leidschenveen,2011,3
WK060301,Rijswijk, Wijk 01,2011,3
WK051803,'s-Gravenhage, Wijk 03 Westbroekpark en Duttendel,2011,2
WK051804,'s-Gravenhage, Wijk 04 Benoordenhout,2011,2
WK051806,'s-Gravenhage, Wijk 06 Van Stolkpark en Scheveningse Bosjes,2011,2
WK051807,'s-Gravenhage, Wijk 07 Scheveningen,2011,2
WK051808,'s-Gravenhage, Wijk 08 Duindorp,2011,2
WK051812,'s-Gravenhage, Wijk 12 Bomen- en Bloemenbuurt,2011,2
WK051814,'s-Gravenhage, Wijk 14 Bohemen en Meer en Bos,2011,2
WK051815,'s-Gravenhage, Wijk 15 Kijkduin en Ockenburgh,2011,2
WK051816,'s-Gravenhage, Wijk 16 Kraayenstein en de Uithof,2011,2
WK051817,'s-Gravenhage, Wijk 17 Loosduinen,2011,2
WK051818,'s-Gravenhage, Wijk 18 Waldeck,2011,2
WK051824,'s-Gravenhage, Wijk 24 Haagse Bos,2011,2
WK051825,'s-Gravenhage, Wijk 25 Mariahoeve en Marlot,2011,2
WK051832,'s-Gravenhage, Wijk 32 Leyenburg,2011,2
WK060302,Rijswijk, Wijk 02,2011,2
WK060303,Rijswijk, Wijk 03,2011,2
WK060304,Rijswijk, Wijk 04,2011,2
WK060305,Rijswijk, Wijk 05,2011,2
WK060306,Rijswijk, Wijk 06,2011,2
WK060307,Rijswijk, Wijk 07,2011,2
WK062901,Wassenaar, Wijk 01 Noordoostelijk deel der gemeente,2011,2
WK191600,Leidschendam-Voorburg, Wijk 00 Voorburg,2011,2
WK191601,Leidschendam-Voorburg, Wijk 01 De Heuvel,2011,2
WK191602,Leidschendam-Voorburg, Wijk 02 De Zijde,2011,2
WK191603,Leidschendam-Voorburg, Wijk 03 Duivenvoorde,2011,2
WK191605,Leidschendam-Voorburg, Wijk 05 't Lien,2011,2
WK191606,Leidschendam-Voorburg, Wijk 06 Leidschendam-Zuid,2011,2
WK191607,Leidschendam-Voorburg, Wijk 07 Damsigt en omgeving,2011,2
WK191608,Leidschendam-Voorburg, Wijk 08 Damlaan,2011,2
WK191609,Leidschendam-Voorburg, Wijk 09 De Rietvink,2011,2
WK191612,Leidschendam-Voorburg, Wijk 12 Prinsenhof,2011,2
WK191613,Leidschendam-Voorburg, Wijk 13 Raadhuiskwartier,2011,2
WK191617,Leidschendam-Voorburg, Wijk 17 Veursestraatweg-Noord,2011,2
WK051810,'s-Gravenhage, Wijk 10 Zorgvliet,2011,4
WK051813,'s-Gravenhage, Wijk 13 Vogelwijk,2011,4
WK051841,'s-Gravenhage, Wijk 41 Hoornwijk,2011,4
WK051843,'s-Gravenhage, Wijk 43 Forepark,2011,4
WK060308,Rijswijk, Wijk 08,2011,4
WK060309,Rijswijk, Wijk 09,2011,4
WK062900,Wassenaar, Wijk 00 Zuidwestelijk deel der gemeente,2011,4
WK191610,Leidschendam-Voorburg, Wijk 10 Wilsveen,2011,4
WK191611,Leidschendam-Voorburg, Wijk 11 Park Leeuwenbergh,2011,4
WK191614,Leidschendam-Voorburg, Wijk 14 Stompwijk,2011,4
WK191615,Leidschendam-Voorburg, Wijk 15 Verzetsheldenwijk,2011,4
WK191616,Leidschendam-Voorburg, Wijk 16 Zeeheldenwijk,2011,4
WK191618,Leidschendam-Voorburg, Wijk 18 Landelijk gebied,2011,4
WK051827,'s-Gravenhage, Wijk 27 Stationsbuurt,2011,1
WK051829,'s-Gravenhage, Wijk 29 Schildersbuurt,2011,1
